EID,GPU Duration (µs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
454,135.20,12144,4048,0,4048,1012,0,5217,0,0,4048,0,0
455,129.32,10608,3536,0,3536,884,0,4984,0,0,3536,0,0
456,128.52,1212,404,0,404,101,0,337,0,0,404,0,0
457,130.36,8136,2712,0,2712,678,0,5196,0,0,2712,0,0
458,16.72,17388,5796,0,5796,3312,0,8332,0,0,5796,0,0
459,14.16,3507,1169,0,1169,668,0,1757,0,0,1169,0,0
460,10.96,861,287,0,287,164,0,260,0,0,287,0,0
461,23.40,29862,9954,0,9954,5688,0,19040,0,0,9954,0,0
462,31.60,33096,11032,0,11032,6895,0,15164,0,0,11032,0,0
463,27.76,6624,2208,0,2208,1380,0,2968,0,0,2208,0,0
464,31.08,15816,5272,0,5272,3295,0,5949,0,0,5272,0,0
465,48.88,40656,13552,0,13552,8470,0,26396,0,0,13552,0,0
466,44.40,23976,7992,0,7992,3996,0,11416,0,0,7992,0,0
467,35.08,6030,2010,0,2010,1005,0,2658,0,0,2010,0,0
468,37.12,14058,4686,0,4686,2343,0,5599,0,0,4686,0,0
469,47.96,34902,11634,0,11634,5817,0,21646,0,0,11634,0,0
470,33.68,13965,4655,0,4655,1862,0,6236,0,0,4655,0,0
471,28.04,8085,2695,0,2695,1078,0,3801,0,0,2695,0,0
472,26.64,1815,605,0,605,242,0,510,0,0,605,0,0
473,1232.36,12720,4240,0,4240,1707,284619,8106,0,0,4240,284619,0
474,1217.28,15420,5140,0,5140,2056,0,6841,0,0,5140,0,0
475,1213.12,1590,530,0,530,212,0,777,0,0,530,0,0
476,1210.76,1275,425,0,425,170,0,350,0,0,425,0,0
477,1210.04,15345,5115,0,5115,2046,0,9887,0,0,5115,0,0
478,21.40,10350,3450,0,3450,0,0,4593,0,0,3450,0,0
479,14.96,4311,1437,0,1437,0,0,1787,0,0,1437,0,0
480,14.28,5049,1683,0,1683,0,0,1936,0,0,1683,0,0
481,17.96,14373,4791,0,4791,0,0,8839,0,0,4791,0,0
482,18.64,23778,7926,0,7926,3963,0,8445,0,0,7926,0,0
483,18.96,12078,4026,0,4026,2013,0,5092,0,0,4026,0,0
484,18.00,864,288,0,288,144,0,247,0,0,288,0,0
485,22.32,14382,4794,0,4794,2397,0,8277,0,0,4794,0,0
486,21.64,16305,5435,0,5435,2174,0,7721,0,0,5435,0,0
487,15.76,2070,690,0,690,276,0,1116,0,0,690,0,0
488,14.00,6240,2080,0,2080,832,0,2545,0,0,2080,0,0
489,30.80,39495,13165,0,13165,5266,0,24810,0,0,13165,0,0
490,26.72,3906,1302,0,1302,0,0,1526,0,0,1302,0,0
491,22.04,2904,968,0,968,0,0,1131,0,0,968,0,0
492,21.36,180,60,0,60,0,0,52,0,0,60,0,0
493,20.84,3780,1260,0,1260,0,0,2125,0,0,1260,0,0
494,6.00,9072,3024,0,3024,0,0,4034,0,0,3024,0,0
495,5.72,2367,789,0,789,0,0,1137,0,0,789,0,0
496,5.04,513,171,0,171,0,0,148,0,0,171,0,0
497,9.04,11529,3843,0,3843,0,0,7303,0,0,3843,0,0
498,9.92,5394,1798,0,1798,0,0,2530,0,0,1798,0,0
499,8.16,1686,562,0,562,0,0,840,0,0,562,0,0
500,8.64,5070,1690,0,1690,0,0,1980,0,0,1690,0,0
501,10.44,7350,2450,0,2450,0,0,4596,0,0,2450,0,0
502,13.32,21609,7203,0,7203,4116,0,8454,0,0,7203,0,0
503,16.80,16632,5544,0,5544,3168,0,7392,0,0,5544,0,0
504,19.68,13272,4424,0,4424,2528,0,4935,0,0,4424,0,0
505,26.12,16884,5628,0,5628,3216,0,10460,0,0,5628,0,0
506,27.36,13401,4467,0,4467,0,0,6091,0,0,4467,0,0
507,21.76,3231,1077,0,1077,0,0,1352,0,0,1077,0,0
508,17.48,3465,1155,0,1155,0,0,1499,0,0,1155,0,0
509,21.12,16767,5589,0,5589,0,0,10441,0,0,5589,0,0
510,16.56,10107,3369,0,3369,0,0,3975,0,0,3369,0,0
511,15.68,11160,3720,0,3720,0,0,5128,0,0,3720,0,0
512,15.04,1233,411,0,411,0,0,390,0,0,411,0,0
513,19.88,13527,4509,0,4509,0,0,8226,0,0,4509,0,0
520,24.08,3300,1100,0,1100,218,2439,2234,0,0,1100,70128,0
521,25.56,3204,1068,0,1068,216,2253,2170,0,0,1068,70128,0
522,26.68,2994,998,0,998,212,2253,2028,0,0,998,70128,0
523,29.84,2850,950,0,950,196,2253,1930,0,0,950,70128,0
524,29.40,3282,1094,0,1094,218,2253,2222,0,0,1094,70128,0
525,23.12,3420,1140,0,1140,232,2253,2316,0,0,1140,70128,0
526,22.36,3138,1046,0,1046,216,2253,2124,0,0,1046,70128,0
527,25.84,3288,1096,0,1096,218,2253,2226,0,0,1096,70128,0
528,25.88,3024,1008,0,1008,216,2253,2048,0,0,1008,70128,0
529,25.24,3024,1008,0,1008,216,2253,2048,0,0,1008,70128,0
530,25.56,3216,1072,0,1072,216,2253,2178,0,0,1072,70128,0
531,25.56,3096,1032,0,1032,216,2253,2096,0,0,1032,70128,0
532,22.12,3312,1104,0,1104,220,2253,2242,0,0,1104,70128,0
533,24.64,3096,1032,0,1032,216,2253,2096,0,0,1032,70128,0
534,24.28,2802,934,0,934,182,2253,1898,0,0,934,69385,0
535,23.64,3282,1094,0,1094,218,2253,2222,0,0,1094,70128,0
536,23.72,3318,1106,0,1106,222,2253,2246,0,0,1106,70128,0
537,23.64,3222,1074,0,1074,216,2253,2182,0,0,1074,70128,0
538,24.00,2856,952,0,952,196,2253,1934,0,0,952,70128,0
539,24.36,3108,1036,0,1036,216,2253,2104,0,0,1036,70128,0
540,24.72,3390,1130,0,1130,232,2253,2296,0,0,1130,70128,0
541,24.64,2694,898,0,898,172,2253,1824,0,0,898,69385,0
542,24.48,3228,1076,0,1076,216,2253,2186,0,0,1076,70128,0
543,24.28,2820,940,0,940,188,2253,1910,0,0,940,69749,0
544,24.28,2910,970,0,970,196,2253,1970,0,0,970,70128,0
545,24.24,3540,1180,0,1180,232,2253,2398,0,0,1180,70128,0
546,24.28,3582,1194,0,1194,232,2253,2426,0,0,1194,70128,0
547,24.44,3204,1068,0,1068,216,2253,2170,0,0,1068,70128,0
548,21.84,3468,1156,0,1156,232,2253,2348,0,0,1156,70128,0
549,23.08,2550,850,0,850,138,1277,1726,0,0,850,40533,0
550,22.84,2670,890,0,890,172,2253,1808,0,0,890,69385,0
551,22.84,3180,1060,0,1060,216,2253,2154,0,0,1060,70128,0
552,19.60,2478,826,0,826,118,880,1678,0,0,826,16510,0
553,18.76,3594,1198,0,1198,232,2253,2434,0,0,1198,70128,0
554,21.56,3462,1154,0,1154,232,2253,2344,0,0,1154,70128,0
555,21.76,3126,1042,0,1042,216,2253,2116,0,0,1042,70128,0
556,21.68,3264,1088,0,1088,218,2253,2210,0,0,1088,70128,0
557,25.04,3720,1240,0,1240,232,2253,2518,0,0,1240,70128,0
558,20.92,2352,784,0,784,92,0,1592,0,0,784,408,0
559,18.84,3006,1002,0,1002,214,2253,2036,0,0,1002,70128,0
560,18.20,2658,886,0,886,172,2253,1800,0,0,886,69385,0
561,17.68,2880,960,0,960,196,2253,1950,0,0,960,70128,0
562,21.84,3576,1192,0,1192,232,2253,2422,0,0,1192,70128,0
563,25.00,2766,922,0,922,172,2253,1872,0,0,922,69385,0
564,24.84,3660,1220,0,1220,232,2253,2478,0,0,1220,70128,0
565,25.28,3228,1076,0,1076,216,2253,2186,0,0,1076,70128,0
566,25.84,3420,1140,0,1140,232,2253,2316,0,0,1140,70128,0
567,20.56,2604,868,0,868,156,1932,1762,0,0,868,54035,0
568,23.80,2994,998,0,998,212,2253,2028,0,0,998,70128,0
569,24.00,3642,1214,0,1214,232,2253,2466,0,0,1214,70128,0
570,20.56,2490,830,0,830,118,880,1686,0,0,830,16510,0
571,20.60,3138,1046,0,1046,216,2253,2124,0,0,1046,70128,0
572,21.60,3648,1216,0,1216,232,2253,2470,0,0,1216,70128,0
573,16.72,2292,764,0,764,92,0,1552,0,0,764,408,0
574,17.44,2946,982,0,982,208,2253,1994,0,0,982,70128,0
575,20.92,3906,1302,0,1302,232,2253,2644,0,0,1302,70128,0
576,16.96,2334,778,0,778,92,0,1580,0,0,778,408,0
577,16.68,3048,1016,0,1016,216,2253,2064,0,0,1016,70128,0
578,16.64,2520,840,0,840,128,893,1706,0,0,840,22507,0
579,18.00,3390,1130,0,1130,232,2253,2296,0,0,1130,70128,0
580,17.88,3402,1134,0,1134,232,2253,2304,0,0,1134,70128,0
581,21.08,3870,1290,0,1290,232,2253,2620,0,0,1290,70128,0
582,22.16,3006,1002,0,1002,214,2253,2036,0,0,1002,70128,0
583,25.20,3774,1258,0,1258,232,2253,2556,0,0,1258,70128,0
584,17.88,2388,796,0,796,94,0,1616,0,0,796,408,0
585,20.88,3078,1026,0,1026,216,2253,2084,0,0,1026,70128,0
586,20.48,3804,1268,0,1268,232,2253,2576,0,0,1268,70128,0
587,18.80,2562,854,0,854,142,1671,1734,0,0,854,45747,0
588,18.48,3042,1014,0,1014,216,2253,2060,0,0,1014,70128,0
589,24.08,3468,1156,0,1156,232,2253,2348,0,0,1156,70128,0
590,22.60,2874,958,0,958,196,2253,1946,0,0,958,70128,0
