C:\Users\siarr\AppData\Local\Temp\RenderDoc\terrain_sandbox_2026.09.09_15.42.27_frame2279.rdc - Frame #2279

 EID  | Event                                                                        | Action #
474   |     - Indirect sub-command[84](<3084, 5>)                                    | 247   
475   |     - Indirect sub-command[85](<318, 5>)                                     | 248   
476   |     - Indirect sub-command[86](<255, 5>)                                     | 249   
477   |     - Indirect sub-command[87](<3069, 5>)                                    | 250   
478   |     - Indirect sub-command[88](<3450, 3>)                                    | 251   
479   |     - Indirect sub-command[89](<1437, 3>)                                    | 252   
480   |     - Indirect sub-command[90](<1683, 3>)                                    | 253   
481   |     - Indirect sub-command[91](<4791, 3>)                                    | 254   
482   |     - Indirect sub-command[92](<3963, 6>)                                    | 255   
483   |     - Indirect sub-command[93](<2013, 6>)                                    | 256   
484   |     - Indirect sub-command[94](<144, 6>)                                     | 257   
485   |     - Indirect sub-command[95](<2397, 6>)                                    | 258   
486   |     - Indirect sub-command[96](<3261, 5>)                                    | 259   
487   |     - Indirect sub-command[97](<414, 5>)                                     | 260   
488   |     - Indirect sub-command[98](<1248, 5>)                                    | 261   
489   |     - Indirect sub-command[99](<7899, 5>)                                    | 262   
490   |     - Indirect sub-command[100](<1953, 2>)                                   | 263   
491   |     - Indirect sub-command[101](<1452, 2>)                                   | 264   
492   |     - Indirect sub-command[102](<90, 2>)                                     | 265   
493   |     - Indirect sub-command[103](<1890, 2>)                                   | 266   
494   |     - Indirect sub-command[104](<3024, 3>)                                   | 267   
495   |     - Indirect sub-command[105](<789, 3>)                                    | 268   
496   |     - Indirect sub-command[106](<171, 3>)                                    | 269   
497   |     - Indirect sub-command[107](<3843, 3>)                                   | 270   
498   |     - Indirect sub-command[108](<2697, 2>)                                   | 271   
499   |     - Indirect sub-command[109](<843, 2>)                                    | 272   
500   |     - Indirect sub-command[110](<2535, 2>)                                   | 273   
501   |     - Indirect sub-command[111](<3675, 2>)                                   | 274   
502   |     - Indirect sub-command[112](<3087, 7>)                                   | 275   
503   |     - Indirect sub-command[113](<2376, 7>)                                   | 276   
504   |     - Indirect sub-command[114](<1896, 7>)                                   | 277   
505   |     - Indirect sub-command[115](<2412, 7>)                                   | 278   
506   |     - Indirect sub-command[116](<4467, 3>)                                   | 279   
507   |     - Indirect sub-command[117](<1077, 3>)                                   | 280   
508   |     - Indirect sub-command[118](<1155, 3>)                                   | 281   
509   |     - Indirect sub-command[119](<5589, 3>)                                   | 282   
510   |     - Indirect sub-command[120](<3369, 3>)                                   | 283   
511   |     - Indirect sub-command[121](<3720, 3>)                                   | 284   
512   |     - Indirect sub-command[122](<411, 3>)                                    | 285   
513   |     - Indirect sub-command[123](<4509, 3>)                                   | 286   
519   |   - vkCmdDrawIndexedIndirect(212)                                            | 287-498
520   |    \- Indirect sub-command[0](<6, 550>)                                      | 287   
521   |     - Indirect sub-command[1](<6, 534>)                                      | 288   
522   |     - Indirect sub-command[2](<6, 499>)                                      | 289   
523   |     - Indirect sub-command[3](<6, 475>)                                      | 290   
524   |     - Indirect sub-command[4](<6, 547>)                                      | 291   
525   |     - Indirect sub-command[5](<6, 570>)                                      | 292   
526   |     - Indirect sub-command[6](<6, 523>)                                      | 293   
527   |     - Indirect sub-command[7](<6, 548>)                                      | 294   
528   |     - Indirect sub-command[8](<6, 504>)                                      | 295   
529   |     - Indirect sub-command[9](<6, 504>)                                      | 296   
530   |     - Indirect sub-command[10](<6, 536>)                                     | 297   
531   |     - Indirect sub-command[11](<6, 516>)                                     | 298   
532   |     - Indirect sub-command[12](<6, 552>)                                     | 299   
533   |     - Indirect sub-command[13](<6, 516>)                                     | 300   
534   |     - Indirect sub-command[14](<6, 467>)                                     | 301   
535   |     - Indirect sub-command[15](<6, 547>)                                     | 302   
536   |     - Indirect sub-command[16](<6, 553>)                                     | 303   
537   |     - Indirect sub-command[17](<6, 537>)                                     | 304   
538   |     - Indirect sub-command[18](<6, 476>)                                     | 305   
539   |     - Indirect sub-command[19](<6, 518>)                                     | 306   
540   |     - Indirect sub-command[20](<6, 565>)                                     | 307   
541   |     - Indirect sub-command[21](<6, 449>)                                     | 308   
542   |     - Indirect sub-command[22](<6, 538>)                                     | 309   
543   |     - Indirect sub-command[23](<6, 470>)                                     | 310   
544   |     - Indirect sub-command[24](<6, 485>)                                     | 311   
545   |     - Indirect sub-command[25](<6, 590>)                                     | 312   
546   |     - Indirect sub-command[26](<6, 597>)                                     | 313   
547   |     - Indirect sub-command[27](<6, 534>)                                     | 314   
548   |     - Indirect sub-command[28](<6, 578>)                                     | 315   
549   |     - Indirect sub-command[29](<6, 425>)                                     | 316   
550   |     - Indirect sub-command[30](<6, 445>)                                     | 317   
551   |     - Indirect sub-command[31](<6, 530>)                                     | 318   
552   |     - Indirect sub-command[32](<6, 413>)                                     | 319   
553   |     - Indirect sub-command[33](<6, 599>)                                     | 320   
554   |     - Indirect sub-command[34](<6, 577>)                                     | 321   
555   |     - Indirect sub-command[35](<6, 521>)                                     | 322   
556   |     - Indirect sub-command[36](<6, 544>)                                     | 323   
557   |     - Indirect sub-command[37](<6, 620>)                                     | 324   
558   |     - Indirect sub-command[38](<6, 392>)                                     | 325   
559   |     - Indirect sub-command[39](<6, 501>)                                     | 326   
560   |     - Indirect sub-command[40](<6, 443>)                                     | 327   
561   |     - Indirect sub-command[41](<6, 480>)                                     | 328   
562   |     - Indirect sub-command[42](<6, 596>)                                     | 329   
563   |     - Indirect sub-command[43](<6, 461>)                                     | 330   
564   |     - Indirect sub-command[44](<6, 610>)                                     | 331   
565   |     - Indirect sub-command[45](<6, 538>)                                     | 332   
566   |     - Indirect sub-command[46](<6, 570>)                                     | 333   
567   |     - Indirect sub-command[47](<6, 434>)                                     | 334   
